Material,Crystal Structure,Bending Strength (MPa),Bending Strain (%),zT,Heat Treatment Process,,,,,,,,
Ag1.8K0.2S0.7Te0.3,cubic crystal structure,90,15,0.47,"The elements were weighed according to the chemical stoichiometry and then placed in a stainless-steel ball milling tank. The ball-to-material ratio is 10:1. The tank was sealed in a glove box and then placed into a high-energy ball miller. The milling time was set as 5 h. The revolving velocity is 1400 r/min.  The as-prepared sample after ballmilling was placed into a stainless-steel mold with a diameter of 10mm and then cold-pressed under the pressure of 50MPa. The pressure holding time was set as 5min. Then the sample was placed in a boron nitride crucible and sealed in quartz tube under vacuum. The quartz tube was placed in a vertical furnace, heated to 1223 K in 10 h and held at this temperature for 1.5 h. Then, the tube was air-cooled to room temperature. The  Ag1.99K0.01S0.7Te0.3 is of cubic crystal structure and has a bending strain of > 15%. The bending strength is ~90 Mpa. The zT at room temperature is 0.47.",,,,,,,,
Ag1.85K0.15S0.7Te0.3,cubic crystal structure,25,15,0.07,"The elements were weighed according to the chemical stoichiometry and then placed in a stainless-steel ball milling tank. The ball-to-material ratio is 10:1. The tank was sealed in a glove box and then placed into a high-energy ball miller. The milling time was set as 5 h. The revolving velocity is 1400 r/min.  The as-prepared sample after ballmilling was placed into a stainless-steel mold with a diameter of 10mm and then cold-pressed under the pressure of 50MPa. The pressure holding time was set as 5min. Then the sample was placed in a boron nitride crucible and sealed in quartz tube under vacuum. The quartz tube was placed in a vertical furnace, heated to 1223 K in 10 h and held at this temperature for 1.5 h. Then, the tube was air-cooled to room temperature. The  Ag1.99K0.01S0.7Te0.3 is of cubic crystal structure and has a bending strain of > 15%. The bending strength is ~25 Mpa. The zT at room temperature is 0.07.",,,,,,,,
Ag1.7K0.3S0.7Te0.3,cubic crystal structure,60,15,0.26,"The elements were weighed according to the chemical stoichiometry and then placed in a stainless-steel ball milling tank. The ball-to-material ratio is 10:1. The tank was sealed in a glove box and then placed into a high-energy ball miller. The milling time was set as 5 h. The revolving velocity is 1400 r/min.  The as-prepared sample after ballmilling was placed into a stainless-steel mold with a diameter of 10mm and then cold-pressed under the pressure of 50MPa. The pressure holding time was set as 5min. Then the sample was placed in a boron nitride crucible and sealed in quartz tube under vacuum. The quartz tube was placed in a vertical furnace, heated to 1223 K in 10 h and held at this temperature for 1.5 h. Then, the tube was air-cooled to room temperature. The  Ag1.99K0.01S0.7Te0.3 is of cubic crystal structure and has a bending strain of > 15%. The bending strength is ~60 Mpa. The zT at room temperature is 0.26.",,,,,,,,
Ag2S0.7Te0.3,cubic crystal structure,100,15,0.15,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.8Te0.2,cubic crystal structure,80,20,0.23789,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.7Te0.3,cubic crystal structure,83,20,0.28927,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.5Te0.5,cubic crystal structure,73,20,0.3727,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.2Te0.8,monoclinic crystal structure,47,1.89696,0.19557,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2Te,monoclinic crystal structure,124,3.63647,0.44536,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2.005S0.5Te0.5,cubic crystal structure,84,20,0.17243,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag1.995S0.5Te0.5,cubic and monoclinic mixed crystal structure,74,0.744,0.35511,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag1.99Au0.01S0.7Te0.3,cubic crystal structure,79,20,0.18252,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag1.97Au0.03S0.7Te0.3,cubic crystal structure,90,20,0.31935,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag1.95Au0.05S0.7Te0.3,cubic crystal structure,103,20,0.29549,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag1.98Au0.03S0.7Te0.3,cubic crystal structure,101,20,0.26679,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag1.96Au0.03S0.7Te0.3,cubic crystal structure,96,19.48575,0.21436,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag1.95Au0.03S0.7Te0.3,cubic crystal structure,101,20,0.24533,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag1.94Au0.03S0.7Te0.3,cubic crystal structure,98,20,0.33089,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1323 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 50 h, dwelled for 72 h. After that, tubes were cooled to 393 K naturally and held at this temperature for 10 h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S,monoclinic crystal structure,,15,6.30E-05,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 10 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se,orthorhombic crystal structure,,1.7,0.8,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 11 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Te,monoclinic crystal structure,,0.6,0.28,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 12 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.9Se0.1,monoclinic crystal structure,,,7.60E-04,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 13 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.7Se0.3,monoclinic crystal structure,,12,0.075,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 14 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.5Se0.5,monoclinic crystal structure,,12,0.26,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 15 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.4Se0.6,monoclinic crystal structure,,10,0.26,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 16 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.3Se0.7,monoclinic crystal structure,,0.8,0.44,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 17 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.2Se0.8,orthorhombic crystal structure,,,0.35,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 18 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.1Se0.9,orthorhombic crystal structure,,2,0.58,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 19 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.8Te0.2,orthorhombic crystal structure,,0.9,0.46,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 20 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.6Te0.4,orthorhombic crystal structure,,1.3,0.46,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 21 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.4Te0.6,orthorhombic crystal structure,,1.2,0.3,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 22 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.2Te0.8,monoclinic crystal structure,,0.8,0.16,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 23 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.86Te0.14,cubic crystal structure,,15,0.15,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 24 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.82Te0.18,cubic crystal structure,,15,0.11,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 25 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.8Te0.2,cubic crystal structure,,,0.14,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 26 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.76Te0.24,cubic crystal structure,,15,0.13,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 27 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.7Te0.3,cubic crystal structure,,15,0.3,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 28 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.5Te0.5,cubic crystal structure,,9,0.58,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 29 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.4Te0.6,monoclinic and cubic mixed crystal structure,,15,0.35,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 30 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.3Te0.7,monoclinic and cubic mixed crystal structure,,15,0.14,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 31 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.2Te0.8,monoclinic and cubic mixed crystal structure,,15,0.14,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 32 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.15Te0.85,monoclinic crystal structure,,10.2,,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 33 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.1Te0.9,monoclinic crystal structure,,5,0.18,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 34 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.05Te0.95,monoclinic crystal structure,,0.44,,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 35 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.8Se0.1Te0.1,monoclinic crystal structure,,15,0.02,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 36 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.7Se0.15Te0.15,monoclinic crystal structure,,15,0.1,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 37 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.6Se0.2Te0.2,cubic crystal structure,,15,0.08,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 38 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.2Se0.4Te0.4,orthorhombic crystal structure,,1.3,,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 39 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.1Se0.45Te0.45,orthorhombic crystal structure,,3.3,0.14,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 40 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.8S0.1Te0.1,orthorhombic crystal structure,,4.7,0.59,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 41 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.6S0.2Te0.2,orthorhombic crystal structure,,1.66,0.6,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 42 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.5S0.25Te0.25,orthorhombic crystal structure,,,0.52,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 43 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.2S0.4Te0.4,cubic crystal structure,,15,0.12,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 44 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Se0.1S0.45Te0.45,cubic crystal structure,,9,0.2,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 45 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Te0.9S0.05Se0.05,monoclinic  crystal structure,,2,0.19,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 46 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Te0.8S0.1Se0.1,monoclinic  crystal structure,,6.7,0.1,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 47 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Te0.6S0.2Se0.2,monoclinic and cubic mixed crystal structure,,3.8,0.1,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 48 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Te0.5S0.25Se0.25,monoclinic and cubic mixed crystal structure,,,0.19,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 49 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Te0.4S0.2Se0.2,monoclinic and cubic mixed crystal structure,,15,0.2,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 50 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Te0.2S0.4Se0.4,cubic crystal structure,,15,0.22,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 51 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2Te0.1S0.45Se0.45,cubic crystal structure,,15,0.22,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 52 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.34Se0.33Te0.33,cubic crystal structure,,15,0.08,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 53 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag1.98S0.34Se0.33Te0.33,cubic crystal structure,,15,0.45,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 54 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag1.9S0.34Se0.33Te0.33,monoclinic crystal structure,,,0.28,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 55 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.6Se0.3Te0.1,monoclinic crystal structure,,,0.35,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 56 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
Ag2S0.5Se0.45Te0.05,monoclinic crystal structure,,,0.44,"The elements are weighted according to the chemical stoichiometric and sealed in quartz tubes under vacuum. The quartz tubes are slowly heated to 1323 K within 50 h and kept at this temperature for 12 h. After that, the tubes are slowly cooled down to 823 K, dwelled for 72 h, then to 393 K and held at this temperature for 57 h. Finally, the furnace is naturally cooled down to room temperature.",,,,,,,,
